geoid,race_white,race_black,race_indian,race_asian,race_pacific,race_some_other,race_two_or_more,race_hispanic,race_white_not_hispanic,race_source_abbreviation,link_to_detailed_sourcing
040135230031005,2,0,0,0,0,0,0,0,2,tract,http://www.prisonersofthecensus.org/data/2010blocks/040135230031005/
040136100002034,485,190,113,14,7,255,62,506,299,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040136100002034/
040137233061092,2387,696,288,30,6,1625,52,2093,1997,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040137233061092/
040130611001026,2,0,0,0,0,0,0,0,2,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040130611001026/
040130610171001,1289,262,181,14,0,393,63,812,954,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040130610171001/
040130610171002,853,114,108,8,0,180,31,453,629,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040130610171002/
040134202103008,3,0,0,0,0,0,0,0,3,tract,http://www.prisonersofthecensus.org/data/2010blocks/040134202103008/
040134211025017,0,3,0,0,0,0,0,0,0,tract,http://www.prisonersofthecensus.org/data/2010blocks/040134211025017/
040134213021016,5,0,0,0,0,0,0,0,5,tract,http://www.prisonersofthecensus.org/data/2010blocks/040134213021016/
040134215022001,5,2,0,0,0,0,0,0,5,tract,http://www.prisonersofthecensus.org/data/2010blocks/040134215022001/
040134216012016,5,0,0,0,0,0,0,0,5,tract,http://www.prisonersofthecensus.org/data/2010blocks/040134216012016/
040134226372016,3,0,0,0,0,0,0,0,3,tract,http://www.prisonersofthecensus.org/data/2010blocks/040134226372016/
040131032201015,2,0,0,0,0,0,0,0,2,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/040131032201015/
040131036041010,0,0,0,2,0,0,4,0,0,tract,http://www.prisonersofthecensus.org/data/2010blocks/040131036041010/
040131080002007,1,0,0,0,0,0,0,0,1,tract,http://www.prisonersofthecensus.org/data/2010blocks/040131080002007/
040131115011012,3,0,0,0,0,3,1,7,0,tract,http://www.prisonersofthecensus.org/data/2010blocks/040131115011012/
040131115021002,5,0,0,0,0,0,0,0,5,tract,http://www.prisonersofthecensus.org/data/2010blocks/040131115021002/
040131134001007,214,57,19,1,0,129,1,148,196,tract,http://www.prisonersofthecensus.org/data/2010blocks/040131134001007/
040131135011013,14,0,11,0,0,0,0,4,10,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/040131135011013/
